Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName,POBJID,EventID
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,Salt,202,100.0,12.96,14.03357,Production Recipes,1,
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,SOLIS,124,100.0,6.75,6.944445,Production Recipes,1,
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,SOUDIOM Bicarbon,35,100.0,8.955,10.99538,Production Recipes,1,
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,SOYA-,105,100.0,1619.145,1600.926,Production Recipes,1,
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,Soya Oil,210,100.0,37.35,37.75,Production Recipes,10,
Server2,57E2E539-A1C3-41A1-B9A2-775F98407A18,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 1,BROILER GROWER,2026-07-22 06:04:24.547,2026-07-22 07:27:01.140,2026-07-22 07:28:05.147,4500.0,TermiN-8,33,100.0,6.75,0.0,Production Recipes,6,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,BETAIN HCL,142,100.0,2.25,3.564815,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,BIOSTRONG 510,140,100.0,0.675,0.8101851,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Broiler Mineral Mix,31,100.0,4.05,6.047454,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Broiler Starter PX,69,100.0,4.05,4.88426,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Choline Chloride 60%,26,100.0,2.7,2.309029,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,KENZYME PRO,77,100.0,2.7,2.980325,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Limestone,113,100.0,55.485,61.02429,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,LYSOFORTE DRY,30,100.0,0.9,0.8695024,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Maize,100,100.0,2679.705,2684.751,Production Recipes,4,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Methionine,12,100.0,10.62,10.99537,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Monocalcium Phos,204,100.0,38.745,39.0625,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,NOVELA ECL,6,100.0,0.45,0.5902779,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Provi Oxi Stop,21,100.0,0.45,1.458333,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Rovabio P10,176,100.0,2.25,0.0,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Sacox (500g),91,100.0,2.25,4.774305,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,Salt,202,100.0,12.96,7.089121,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,SOLIS,124,100.0,6.75,7.248263,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,SOUDIOM Bicarbon,35,100.0,8.955,10.12731,Production Recipes,1,
Server2,B00D650B-FBB0-4C50-B5CE-DDC8922542A0,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-22 06:04:26.547,2026-07-22 07:37:15.737,2026-07-22 07:38:21.500,4500.0,SOYA-,105,100.0,1619.145,1617.969,Production Recipes,1,
