Source Server,Batch GUID,ROOTGUID,OrderID,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName
Server2,2B0E1E05-B789-4DC6-A118-20378940A8F5,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-23 02:39:18.227,2026-07-23 04:29:42.097,2026-07-23 04:30:46.363,4500.0,SOLIS,124,100.0,6.75,7.306134,Production Recipes
Server2,2B0E1E05-B789-4DC6-A118-20378940A8F5,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-23 02:39:18.227,2026-07-23 04:29:42.097,2026-07-23 04:30:46.363,4500.0,SOUDIOM Bicarbon,35,100.0,8.955,10.12732,Production Recipes
Server2,2B0E1E05-B789-4DC6-A118-20378940A8F5,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-23 02:39:18.227,2026-07-23 04:29:42.097,2026-07-23 04:30:46.363,4500.0,SOYA-,105,100.0,1619.145,1617.969,Production Recipes
Server2,2B0E1E05-B789-4DC6-A118-20378940A8F5,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-23 02:39:18.227,2026-07-23 04:29:42.097,2026-07-23 04:30:46.363,4500.0,Soya Oil,210,100.0,37.35,37.75,Production Recipes
Server2,2B0E1E05-B789-4DC6-A118-20378940A8F5,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 3,BROILER GROWER,2026-07-23 02:39:18.227,2026-07-23 04:29:42.097,2026-07-23 04:30:46.363,4500.0,TermiN-8,33,100.0,6.75,0.0,Production Recipes
Server2,D8C577DF-4D28-4216-952B-249BC2AA3D8F,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-23 02:39:12.147,2026-07-23 04:24:52.847,2026-07-23 04:25:57.277,4500.0,BETAIN HCL,142,100.0,2.25,2.592593,Production Recipes
Server2,D8C577DF-4D28-4216-952B-249BC2AA3D8F,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-23 02:39:12.147,2026-07-23 04:24:52.847,2026-07-23 04:25:57.277,4500.0,BIOSTRONG 510,140,100.0,0.675,0.8000579,Production Recipes
Server2,D8C577DF-4D28-4216-952B-249BC2AA3D8F,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-23 02:39:12.147,2026-07-23 04:24:52.847,2026-07-23 04:25:57.277,4500.0,Broiler Mineral Mix,31,100.0,4.05,7.33507,Production Recipes
Server2,D8C577DF-4D28-4216-952B-249BC2AA3D8F,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-23 02:39:12.147,2026-07-23 04:24:52.847,2026-07-23 04:25:57.277,4500.0,Broiler Starter PX,69,100.0,4.05,4.855325,Production Recipes
Server2,D8C577DF-4D28-4216-952B-249BC2AA3D8F,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER605 2,BROILER GROWER,2026-07-23 02:39:12.147,2026-07-23 04:24:52.847,2026-07-23 04:25:57.277,4500.0,Choline Chloride 60%,26,100.0,2.7,3.06713,Production Recipes
