Source Server,Batch GUID,ROOTGUID,OrderId,Batch Name,Product Name,Batch Act Start,Batch Act End,Batch Transfer Time,Quantity,Material Name,Material Code,sp_prot,SetPoint Float,Actual Value Float,FormulaCategoryName
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SOYA-,105,1,2712,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,BIOSTRONG 510,140,100,1.2,0.6394677,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Limestone,113,1,96,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Salt,202,100,20,10.99537,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SENITHETIC LYSIN,8,100,19.2,9.3750003,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Monocalcium Phos,204,1,44,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Provi Oxi Stop,21,100,0.8,4.288195,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L-VALINE 98%,72,100,4,3.333333,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,BETAIN HCL,142,100,2.4,3.952546,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L Threonine,60,100,10.4,5.38194539,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Broiler Starter PX,69,100,7.2,5.35879609,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Methionine,12,1,29.6,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Rovabio Advance,74,1,0.4,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,LYSOFORTE DRY,30,1,1.6,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,L Isoleucine,73,100,2.4,1.420718,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,Provi Oxi Stop,21,1,0.8,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SENITHETIC LYSIN,8,1,19.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,BIOSTRONG 510,140,1,1.2,0,Production Recipes
Server1,B9EB4497-6550-4F8A-830A-3518437D8920,9EB5AAF9-4EC2-4BC1-B78F-A2C697BCE705,4,BROILER GROWER 1603 3,BROILER GROWER 1,2026-06-24 06:55:50.197,2026-06-24 08:38:15.753,2026-06-24 08:39:19.847,4000,SOUDIOM Bicarbon,35,1,11.2,0,Production Recipes
